,Unnamed: 0,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts,Predicted Ownership
16,16,QB,Deshaun Watson,23.51333364,8000,9.5,0,0,0,1,0,0,0,35,16.30631228
21,21,QB,Kirk Cousins,20.76333364,7800,6.333333333,1,0,0,1,0,0,0,44,14.53893237
32,32,QB,Andrew Luck,21.38000081,7500,6.833333333,0,0,0,1,0,0,0,55,14.40064278
19,19,QB,Carson Wentz,22.23999895,7900,3.857142857,1,0,0,1,0,0,0,43,13.64489579
0,0,QB,Tom Brady,20.98857117,9400,8.571428571,1,0,0,1,0,0,0,35,10.37841259
18,18,QB,Russell Wilson,20.9399999,7900,9.333333333,1,0,0,1,0,0,0,42,7.321287476
24,24,QB,Cam Newton,18.65428598,7800,6,0,0,0,1,0,0,0,42,6.198924739
28,28,QB,Tyrod Taylor,15.08666611,7600,3.571428571,1,0,0,1,0,0,0,37,5.076187169
7,7,QB,Drew Brees,18.72999954,8500,10,1,0,0,1,0,0,0,48,4.509335253
33,33,QB,Philip Rivers,16.24857112,7500,5,0,0,0,1,0,0,0,55,2.796396336
118,118,QB,Nick Foles,14,6000,3.857142857,1,0,0,1,0,0,0,34,2.706567038
40,40,QB,Josh McCown,15.71714238,7300,5,1,0,0,1,0,0,0,37,2.571078888
83,83,QB,DeShone Kizer,10.03333346,6100,6.571428571,1,0,0,1,0,0,0,33,2.534979739
90,90,QB,Kevin Hogan,9.694999695,6000,6.571428571,1,0,0,1,0,0,0,35,2.4204273
126,126,QB,Paxton Lynch,9.793333054,6000,7.142857143,0,0,0,1,0,0,0,34,2.260586945
29,29,QB,Jameis Winston,17.1200002,7600,7.428571429,1,0,0,1,0,0,0,52,2.044478911
49,49,QB,Case Keenum,12.8799998,6900,5.857142857,0,0,0,1,0,0,0,39,1.820387355
31,31,QB,Andy Dalton,13.80000051,7600,5,1,0,0,1,0,0,0,54,1.651555413
51,51,QB,Trevor Siemian,15.45666631,6800,7.142857143,0,0,0,1,0,0,0,42,1.620626442
69,69,QB,Sam Bradford,13.48999977,6400,5.857142857,0,0,0,1,0,0,0,36,1.508722843
13,13,QB,Matt Ryan,14.98333359,8100,5.142857143,0,0,0,1,0,0,0,39,1.360880682
114,114,QB,Ryan Fitzpatrick,11.30000019,6000,7.428571429,1,0,0,1,0,0,0,81,1.148718051
110,110,QB,EJ Manuel,7.550000191,6000,9.333333333,0,0,0,1,0,0,0,27,0.994274599
53,53,QB,Joe Flacco,8.751428332,6700,6.666666667,1,0,0,1,0,0,0,41,0.949158278
130,130,QB,Mike Glennon,9.680000305,6000,10.83333333,0,0,0,1,0,0,0,71,0.866585648
52,52,QB,Jacoby Brissett,13.46571459,6700,6.833333333,0,0,0,1,0,0,0,38,0.812805644
26,26,QB,Matthew Stafford,16.80333328,7700,9.857142857,1,0,0,1,0,0,0,39,0.758417068
23,23,QB,Derek Carr,15.97333272,7800,9.333333333,0,0,0,1,0,0,0,41,0.689808801
80,80,QB,Brian Hoyer,11.08333333,6200,8.285714286,0,0,0,1,0,0,0,31,0.57713108
75,75,QB,C.J. Beathard,14.30000019,6300,8.285714286,0,0,0,1,0,0,0,8,0.528796294
74,74,QB,Mitchell Trubisky,8.206666946,6400,10.83333333,0,0,0,1,0,0,0,54,0.506444425
60,60,QB,Jay Cutler,10.80000051,6600,10.71428571,0,0,0,1,0,0,0,33,0.504645619
67,67,QB,Matt Moore,14.52000046,6500,10.71428571,0,0,0,1,0,0,0,33,-0.246394989
37,37,QB,Ben Roethlisberger,13.55714308,7400,13,0,0,0,1,0,0,0,23,-0.357744109
113,113,QB,Brock Osweiler,0.620000005,6000,7.142857143,0,0,0,1,0,0,0,34,-0.567038826
91,91,QB,Chad Kelly,0,6000,7.142857143,0,0,0,1,0,0,0,34,-0.567038826
117,117,QB,Connor Cook,7,6000,9.333333333,0,0,0,1,0,0,0,31,-0.595345992
93,93,QB,Bryce Petty,6.543333054,6000,5,1,0,0,1,0,0,0,41,-0.744556303
94,94,QB,Tyler Bray,0,6000,6.833333333,1,0,0,1,0,0,0,14,-0.838533222
96,96,QB,Patrick Mahomes II,0,6000,6.833333333,1,0,0,1,0,0,0,11,-0.838533222
107,107,QB,Scott Tolzien,3.319999933,6000,6.833333333,0,0,0,1,0,0,0,23,-0.885169107
106,106,QB,Joe Webb,0.114285716,6000,3.571428571,1,0,0,1,0,0,0,25,-0.89001531
136,136,QB,Ryan Mallett,5.440000057,6000,6.666666667,1,0,0,1,0,0,0,20,-0.897045059
134,134,QB,Ryan Griffin,0,6000,7.428571429,1,0,0,1,0,0,0,26,-0.89950571
100,100,QB,Colt McCoy,0,6000,6.333333333,1,0,0,1,0,0,0,49,-0.922338423
92,92,QB,Nathan Peterman,0,6000,3.571428571,1,0,0,1,0,0,0,17,-0.934838747
89,89,QB,T.J. Yates,0,6000,3.571428571,1,0,0,1,0,0,0,11,-0.934838747
125,125,QB,Cooper Rush,1.379999995,6000,7.666666667,0,0,0,1,0,0,0,25,-0.940748582
104,104,QB,Jimmy Garoppolo,5.913333257,6000,8.571428571,1,0,0,1,0,0,0,44,-0.943732076
108,108,QB,Kellen Moore,0,6000,7.666666667,0,0,0,1,0,0,0,35,-0.949018273
124,124,QB,Chase Daniel,0.639999986,6000,10,1,0,0,1,0,0,0,55,-0.989745094
81,81,QB,Cody Kessler,3.74000001,6200,6.571428571,1,0,0,1,0,0,0,39,-0.99526907
120,120,QB,Zac Dysert,0,6000,7.666666667,0,0,0,1,0,0,0,12,-1.014593137
121,121,QB,Mark Sanchez,0.75999999,6000,10.83333333,0,0,0,1,0,0,0,87,-1.04186623
95,95,QB,Taylor Heinicke,0,6000,8.571428571,1,0,0,1,0,0,0,11,-1.054600356
99,99,QB,Derek Anderson,0.680000007,6000,6,0,0,0,1,0,0,0,41,-1.05609295
132,132,QB,Brad Kaaya,0,6000,9.857142857,1,0,0,1,0,0,0,23,-1.064850614
111,111,QB,Garrett Gilbert,0,6000,6,0,0,0,1,0,0,0,9,-1.121667814
116,116,QB,Taysom Hill,0,6000,10,1,0,0,1,0,0,0,17,-1.138695169
105,105,QB,Jake Rudock,0,6000,9.857142857,1,0,0,1,0,0,0,12,-1.138695169
135,135,QB,Connor Shaw,0,6000,10.83333333,0,0,0,1,0,0,0,37,-1.141728572
109,109,QB,Tom Savage,-0.75999999,6000,9.5,0,0,0,1,0,0,0,42,-1.141728572
102,102,QB,Austin Davis,-0.100000001,6000,9.333333333,1,0,0,1,0,0,0,32,-1.144088182
103,103,QB,AJ McCarron,0,6000,5,1,0,0,1,0,0,0,39,-1.172328254
112,112,QB,Joshua Dobbs,0,6000,13,0,0,0,1,0,0,0,17,-1.207303436
122,122,QB,Jeff Driskel,0,6000,5,1,0,0,1,0,0,0,13,-1.208881999
128,128,QB,Christian Hackenberg,0,6000,5,1,0,0,1,0,0,0,15,-1.208881999
129,129,QB,Landry Jones,5.13142831,6000,13,0,0,0,1,0,0,0,30,-1.212696449
131,131,QB,Cardale Jones,2.74000001,6000,5,0,0,0,1,0,0,0,33,-1.270255363
119,119,QB,Matt Schaub,0.146666666,6000,5.142857143,0,0,0,1,0,0,0,16,-1.306809109
127,127,QB,Kellen Clemens,-0.100000001,6000,5,0,0,0,1,0,0,0,9,-1.306809109
133,133,QB,Kyle Sloter,0,6000,5.857142857,0,0,0,1,0,0,0,30,-1.319812569
66,66,QB,Teddy Bridgewater,0,6500,5.857142857,0,0,0,1,0,0,0,62,-1.383785098
3,3,RB,Ezekiel Elliott,19.93333308,9000,7.666666667,0,0,0,0,1,0,0,44,19.86544994
6,6,RB,Kareem Hunt,20.95714242,8500,6.833333333,1,0,0,0,1,0,0,34,19.70437506
1,1,RB,Le'Veon Bell,18.61428615,9400,13,0,0,0,0,1,0,0,15,15.55459527
17,17,RB,Melvin Gordon,16.95714242,7900,5,0,0,0,0,1,0,0,28,13.79863793
15,15,RB,Devonta Freeman,14.90000025,8000,5.142857143,0,0,0,0,1,0,0,44,13.14066475
101,101,RB,Chris Thompson,16.23333359,6000,6.333333333,1,0,0,0,1,0,0,35,12.50048367
10,10,RB,LeSean McCoy,14.16666667,8400,3.571428571,1,0,0,0,1,0,0,63,9.048383585
61,61,RB,Carlos Hyde,13.78571429,6600,8.285714286,0,0,0,0,1,0,0,38,4.576913704
45,45,RB,Mark Ingram,13.91666667,7200,10,1,0,0,0,1,0,0,40,4.342836889
156,156,RB,Duke Johnson Jr.,11.38571385,5500,6.571428571,1,0,0,0,1,0,0,8,4.24443725
65,65,RB,Doug Martin,12.86666616,6500,7.428571429,1,0,0,0,1,0,0,33,3.963939963
77,77,RB,Christian McCaffrey,10.90000044,6300,6,0,0,0,0,1,0,0,15,3.868503661
47,47,RB,Jordan Howard,12.77142879,6900,10.83333333,0,0,0,0,1,0,0,42,3.18917087
71,71,RB,Lamar Miller,12.36666616,6400,9.5,0,0,0,0,1,0,0,35,2.905569067
59,59,RB,C.J. Anderson,10.83333333,6600,7.142857143,0,0,0,0,1,0,0,7,2.71252412
98,98,RB,Tevin Coleman,9.599999746,6000,5.142857143,0,0,0,0,1,0,0,33,2.307717285
84,84,RB,LeGarrette Blount,8.5,6100,3.857142857,1,0,0,0,1,0,0,41,2.306590661
88,88,RB,Bilal Powell,9.833333333,6100,5,1,0,0,0,1,0,0,31,2.260669378
369,369,RB,Cameron Artis-Payne,9.333333333,4500,6,0,0,0,0,1,0,0,11,2.09959875
82,82,RB,Javorius Allen,10.27142879,6200,6.666666667,1,0,0,0,1,0,0,17,1.931536599
68,68,RB,Alvin Kamara,11.40000025,6400,10,1,0,0,0,1,0,0,56,1.755353363
63,63,RB,Jerick McKinnon,8.82857132,6500,5.857142857,0,0,0,0,1,0,0,38,1.493326275
174,174,RB,Matt Forte,8.2,5400,5,1,0,0,0,1,0,0,25,1.390874722
138,138,RB,Joe Mixon,7.71666654,5900,5,1,0,0,0,1,0,0,51,1.015056848
224,224,RB,James White,9.257143293,4900,8.571428571,1,0,0,0,1,0,0,35,0.870140238
183,183,RB,Frank Gore,8.457142966,5300,6.833333333,0,0,0,0,1,0,0,35,0.573328426
358,358,RB,J.D. McKissic,9.46666654,4500,9.333333333,1,0,0,0,1,0,0,8,0.371879777
140,140,RB,Tarik Cohen,9.391428266,5800,10.83333333,0,0,0,0,1,0,0,30,0.318540533
207,207,RB,Giovani Bernard,7.28333346,5100,5,1,0,0,0,1,0,0,36,0.293414962
151,151,RB,Marlon Mack,7.7,5600,6.833333333,0,0,0,0,1,0,0,28,0.260613136
172,172,RB,Mike Gillislee,7.728571211,5400,8.571428571,1,0,0,0,1,0,0,27,0.241109512
203,203,RB,Charcandrick West,6.6,5100,6.833333333,1,0,0,0,1,0,0,56,0.187153466
211,211,RB,Isaiah Crowell,6.857142857,5000,6.571428571,1,0,0,0,1,0,0,43,0.116274096
197,197,RB,Elijah McGuire,5.416666667,5100,5,1,0,0,0,1,0,0,40,0.093978359
192,192,RB,Jonathan Stewart,5.842857361,5200,6,0,0,0,0,1,0,0,50,0.086548591
148,148,RB,Rob Kelley,4.275000095,5700,6.333333333,1,0,0,0,1,0,0,55,0.071564612
206,206,RB,Jeremy Hill,2.350000064,5100,5,1,0,0,0,1,0,0,37,0.048684943
158,158,RB,Wendell Smallwood,6.259999847,5500,3.857142857,1,0,0,0,1,0,0,31,0.040343142
123,123,RB,Ameer Abdullah,8.666666667,6000,9.857142857,1,0,0,0,1,0,0,48,0.031540418
227,227,RB,Terrance West,5.420000076,4900,6.666666667,1,0,0,0,1,0,0,15,0.018969868
266,266,RB,Rex Burkhead,6.46666654,4700,8.571428571,1,0,0,0,1,0,0,33,0.017052378
191,191,RB,Jamaal Charles,5.316666603,5200,7.142857143,0,0,0,0,1,0,0,33,0.016156467
425,425,RB,Keith Marshall,0,4500,6.333333333,1,0,0,0,1,0,0,55,0.003909846
179,179,RB,Samaje Perine,6.525000095,5300,6.333333333,1,0,0,0,1,0,0,23,-0.001424935
153,153,RB,Alex Collins,5.416666667,5600,6.666666667,1,0,0,0,1,0,0,34,-0.023635221
269,269,RB,Mike Tolbert,4.78333346,4700,3.571428571,1,0,0,0,1,0,0,20,-0.03179132
272,272,RB,Taiwan Jones,0.800000012,4700,3.571428571,1,0,0,0,1,0,0,31,-0.040904741
471,471,RB,Corey Clement,4.759999847,4500,3.857142857,1,0,0,0,1,0,0,51,-0.050889924
163,163,RB,Dion Lewis,6.214285714,5400,8.571428571,1,0,0,0,1,0,0,46,-0.061026885
319,319,RB,Donnel Pumphrey,0,4500,3.857142857,1,0,0,0,1,0,0,34,-0.064164011
412,412,RB,Tra Carson,0,4500,5,1,0,0,0,1,0,0,56,-0.069075274
50,50,RB,Jay Ajayi,8.683333079,6900,10.71428571,0,0,0,0,1,0,0,42,-0.070766144
420,420,RB,Mack Brown,2.25,4500,6.333333333,1,0,0,0,1,0,0,35,-0.079465366
214,214,RB,James Conner,1.466666698,5000,13,0,0,0,0,1,0,0,59,-0.080114994
205,205,RB,Branden Oliver,2.575000048,5100,5,0,0,0,0,1,0,0,24,-0.093418578
250,250,RB,Devontae Booker,5.23333327,4800,7.142857143,0,0,0,0,1,0,0,23,-0.100104825
256,256,RB,Kenneth Farrow,3.070000076,4700,5,0,0,0,0,1,0,0,20,-0.116080197
497,497,RB,Keith Smith,2,4500,7.666666667,0,0,0,0,1,0,0,84,-0.12705623
165,165,RB,Eddie Lacy,3.400000095,5400,9.333333333,1,0,0,0,1,0,0,58,-0.129651542
168,168,RB,Thomas Rawls,2.866666794,5400,9.333333333,1,0,0,0,1,0,0,57,-0.129651542
184,184,RB,Theo Riddick,6.566666921,5300,9.857142857,1,0,0,0,1,0,0,50,-0.16052644
157,157,RB,Alfred Morris,2.900000095,5500,7.666666667,0,0,0,0,1,0,0,33,-0.16153108
234,234,RB,C.J. Prosise,4.566666603,4900,9.333333333,1,0,0,0,1,0,0,7,-0.167872597
318,318,RB,C.J. Spiller,0,4500,6.833333333,1,0,0,0,1,0,0,8,-0.182782595
173,173,RB,Darren McFadden,3.96666654,5400,7.666666667,0,0,0,0,1,0,0,26,-0.190371643
275,275,RB,Charles Sims,3.200000127,4600,7.428571429,1,0,0,0,1,0,0,12,-0.193102552
283,283,RB,Bobby Rainey,4.949999809,4600,6.666666667,1,0,0,0,1,0,0,17,-0.194189084
363,363,RB,Patrick DiMarco,0.266666671,4500,3.571428571,1,0,0,0,1,0,0,14,-0.201151709
411,411,RB,James Develin,1.166666667,4500,8.571428571,1,0,0,0,1,0,0,60,-0.206260829
461,461,RB,Danny Vitale,1.399999976,4500,6.571428571,1,0,0,0,1,0,0,30,-0.208439154
219,219,RB,Zach Zenner,1.899999976,4900,9.857142857,1,0,0,0,1,0,0,15,-0.212548979
405,405,RB,Cedric Peerman,1.5,4500,5,1,0,0,0,1,0,0,11,-0.214304942
164,164,RB,Marshawn Lynch,6.342857361,5400,9.333333333,0,0,0,0,1,0,0,32,-0.217991168
480,480,RB,C.J. Ham,2.775000095,4500,5.857142857,0,0,0,0,1,0,0,8,-0.219353533
186,186,RB,Matt Breida,3.714285714,5200,8.285714286,0,0,0,0,1,0,0,21,-0.223460261
348,348,RB,Derrick Coleman,0.800000012,4500,5.142857143,0,0,0,0,1,0,0,38,-0.22358613
487,487,RB,Peyton Barber,2.450000048,4500,7.428571429,1,0,0,0,1,0,0,17,-0.224105172
290,290,RB,Jacquizz Rodgers,5.133333206,4500,7.428571429,1,0,0,0,1,0,0,11,-0.224105172
482,482,RB,Rod Smith,3.399999936,4500,7.666666667,0,0,0,0,1,0,0,40,-0.226918572
503,503,RB,Anthony Sherman,0.800000012,4500,6.833333333,1,0,0,0,1,0,0,13,-0.227458978
316,316,RB,Akeem Hunt,0.149999996,4500,6.833333333,1,0,0,0,1,0,0,13,-0.227458978
454,454,RB,Darius Jackson,0,4500,6.571428571,1,0,0,0,1,0,0,12,-0.228346851
447,447,RB,Matthew Dayes,0.933333317,4500,6.571428571,1,0,0,0,1,0,0,11,-0.228346851
299,299,RB,Josh Ferguson,0.5,4500,6.833333333,0,0,0,0,1,0,0,37,-0.230272378
190,190,RB,D'Onta Foreman,4.5,5200,9.5,0,0,0,0,1,0,0,11,-0.25436578
253,253,RB,Benny Cunningham,3.620000076,4800,10.83333333,0,0,0,0,1,0,0,13,-0.25436578
368,368,RB,Fozzy Whittaker,2.974999905,4500,6,0,0,0,0,1,0,0,11,-0.264029916
356,356,RB,Bishop Sankey,0,4500,5.857142857,0,0,0,0,1,0,0,18,-0.264029916
185,185,RB,Jalen Richard,6.157142639,5300,9.333333333,0,0,0,0,1,0,0,33,-0.264770742
343,343,RB,George Winn,0,4500,6.833333333,0,0,0,0,1,0,0,8,-0.27647157
468,468,RB,Damien Williams,2.360000038,4500,10.71428571,0,0,0,0,1,0,0,57,-0.278983149
327,327,RB,Derek Watt,0,4500,5,0,0,0,0,1,0,0,14,-0.285440587
479,479,RB,Terron Ward,3.340000153,4500,5.142857143,0,0,0,0,1,0,0,11,-0.285440587
366,366,RB,Brandon Bolden,0.966666698,4500,8.571428571,1,0,0,0,1,0,0,35,-0.289636041
314,314,RB,Austin Ekeler,4.971428462,4500,5,0,0,0,0,1,0,0,31,-0.294554007
146,146,RB,DeAndre Washington,4.28333346,5700,9.333333333,0,0,0,0,1,0,0,43,-0.296970869
72,72,RB,Latavius Murray,4.642857143,6400,5.857142857,0,0,0,0,1,0,0,44,-0.299353952
404,404,RB,Matt Jones,0.699999988,4500,6.833333333,0,0,0,0,1,0,0,25,-0.301240255
430,430,RB,Andy Janovich,0.966666698,4500,7.142857143,0,0,0,0,1,0,0,17,-0.318880678
311,311,RB,De'Angelo Henderson,0.100000001,4500,7.142857143,0,0,0,0,1,0,0,11,-0.318880678
307,307,RB,John Kuhn,0.200000003,4500,10,1,0,0,0,1,0,0,39,-0.32054156
321,321,RB,Mike James,2.033333302,4500,9.857142857,1,0,0,0,1,0,0,45,-0.32054156
403,403,RB,Robert Turbin,3.566666603,4500,6.833333333,0,0,0,0,1,0,0,13,-0.321147952
383,383,RB,Michael Burton,0.666666667,4500,10.83333333,0,0,0,0,1,0,0,50,-0.349084274
398,398,RB,Kyle Juszczyk,4.775000095,4500,8.285714286,0,0,0,0,1,0,0,23,-0.402420719
459,459,RB,Trey Edmunds,0,4500,10,1,0,0,0,1,0,0,9,-0.411417134
426,426,RB,Daniel Lasco II,1.76666673,4500,10,1,0,0,0,1,0,0,9,-0.411417134
336,336,RB,Tion Green,0,4500,9.857142857,1,0,0,0,1,0,0,11,-0.411417134
489,489,RB,Dwayne Washington,1.549999952,4500,9.857142857,1,0,0,0,1,0,0,19,-0.411417134
491,491,RB,Tre Madden,0.400000006,4500,9.333333333,1,0,0,0,1,0,0,9,-0.411417134
306,306,RB,Raheem Mostert,0.25,4500,8.285714286,0,0,0,0,1,0,0,11,-0.422328416
346,346,RB,Kenyan Drake,0.416666667,4500,10.71428571,0,0,0,0,1,0,0,15,-0.453233935
359,359,RB,Ka'Deem Carey,1.872727307,4500,10.83333333,0,0,0,0,1,0,0,11,-0.453233935
296,296,RB,Jordan Todman,0,4500,9.5,0,0,0,0,1,0,0,11,-0.453233935
326,326,RB,Taquan Mizzell,0,4500,10.83333333,0,0,0,0,1,0,0,11,-0.453233935
399,399,RB,Jamize Olawale,1.266666651,4500,9.333333333,0,0,0,0,1,0,0,10,-0.453233935
406,406,RB,Senorise Perry,0,4500,10.71428571,0,0,0,0,1,0,0,12,-0.453233935
437,437,RB,Alfred Blue,1.200000048,4500,9.5,0,0,0,0,1,0,0,9,-0.453233935
418,418,RB,Jay Prosch,2.299999952,4500,9.5,0,0,0,0,1,0,0,11,-0.453233935
493,493,RB,Tyler Ervin,2.25,4500,9.5,0,0,0,0,1,0,0,11,-0.453233935
422,422,RB,Terrell Watson,0.160000002,4500,13,0,0,0,0,1,0,0,15,-0.453233935
9,9,TE,Rob Gronkowski,13.94999949,8400,8.571428571,1,0,0,0,0,1,0,57,9.331088169
39,39,TE,Zach Ertz,13.84285736,7300,3.857142857,1,0,0,0,0,1,0,38,9.322098976
161,161,TE,Hunter Henry,10.51999969,5500,5,0,0,0,0,0,1,0,42,7.951725803
154,154,TE,Charles Clay,9.559999847,5500,3.571428571,1,0,0,0,0,1,0,22,7.778787895
141,141,TE,Cameron Brate,11.93333308,5800,7.428571429,1,0,0,0,0,1,0,22,7.586084932
43,43,TE,Travis Kelce,11.35714286,7200,6.833333333,1,0,0,0,0,1,0,48,5.970647224
76,76,TE,Austin Seferian-Jenkins,9.259999847,6300,5,1,0,0,0,0,1,0,7,5.405092413
87,87,TE,Jordan Reed,9.119999695,6100,6.333333333,1,0,0,0,0,1,0,30,5.192342982
171,171,TE,Jason Witten,9.96666654,5400,7.666666667,0,0,0,0,0,1,0,49,4.768473008
145,145,TE,Tyler Kroft,8.640000153,5700,5,1,0,0,0,0,1,0,29,4.489752858
464,464,TE,Connor Hamlett,8.199999809,4500,7.666666667,0,0,0,0,0,1,0,18,2.541413212
70,70,TE,Jimmy Graham,7.833333333,6400,9.333333333,1,0,0,0,0,1,0,39,2.081650948
188,188,TE,O.J. Howard,7.333333333,5200,7.428571429,1,0,0,0,0,1,0,8,2.036682394
143,143,TE,Kyle Rudolph,7.057143075,5800,5.857142857,0,0,0,0,0,1,0,62,1.900458247
152,152,TE,Jared Cook,7.014285496,5600,9.333333333,0,0,0,0,0,1,0,47,1.518309978
235,235,TE,Vernon Davis,6.78333346,4900,6.333333333,1,0,0,0,0,1,0,48,1.486286186
239,239,TE,Jesse James,7.219999695,4800,13,0,0,0,0,0,1,0,38,1.365117645
176,176,TE,Zach Miller,6.514285496,5400,10.83333333,0,0,0,0,0,1,0,42,1.315457385
237,237,TE,Jack Doyle,7.116666794,4900,6.833333333,0,0,0,0,0,1,0,74,1.275538656
402,402,TE,Keith Towbridge,0,4500,3.571428571,1,0,0,0,0,1,0,57,1.113603205
220,220,TE,Austin Hooper,6.633333206,4900,5.142857143,0,0,0,0,0,1,0,21,1.044588113
251,251,TE,Benjamin Watson,5.985714504,4800,6.666666667,1,0,0,0,0,1,0,54,0.918199036
160,160,TE,Eric Ebron,3.78333346,5500,9.857142857,1,0,0,0,0,1,0,36,0.909329166
308,308,TE,Adam Shaheen,6.699999809,4500,10.83333333,0,0,0,0,0,1,0,70,0.86108923
